,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,lat,long,NumberofRooms
0,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,47.5112,-122.257,4.0
1,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,47.721,-122.319,5.25
3,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,47.5208,-122.393,7.0
4,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,47.6168,-122.045,5.0
6,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,47.3097,-122.327,5.25
7,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,47.4095,-122.315,4.5
8,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,47.5123,-122.337,4.0
9,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,47.3684,-122.031,5.5
11,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,47.69,-122.292,3.0
13,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,47.6127,-122.045,4.75
14,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,47.67,-122.394,7.0
16,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,47.7277,-121.962,5.0
17,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,47.6648,-122.343,5.0
18,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,47.3089,-122.21,3.0
19,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,47.3343,-122.306,4.0
20,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,47.7025,-122.341,5.75
22,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,47.3266,-122.169,7.5
23,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,47.3533,-122.166,3.5
24,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,47.3739,-122.172,5.25
25,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,47.3048,-122.218,5.0
27,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,47.6221,-122.314,4.0
28,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,47.695,-122.304,4.75
30,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,47.5391,-122.07,5.5
